Date,actual,arima_forecast,arima_error
2025-01-05,664.5,549.2272697203023,115.27273027969773
2025-01-12,483.0,549.2272697203023,-66.22726972030227
2025-01-19,603.0,549.2272697203023,53.772730279697726
2025-01-26,523.0,549.2272697203023,-26.227269720302274
2025-02-02,561.0,549.2272697203023,11.772730279697726
2025-02-09,637.0,549.2272697203023,87.77273027969773
2025-02-16,545.5,549.2272697203023,-3.7272697203022744
2025-02-23,571.0,549.2272697203023,21.772730279697726
2025-03-02,533.0,549.2272697203023,-16.227269720302274
2025-03-09,578.5,549.2272697203023,29.272730279697726
2025-03-16,480.0,549.2272697203023,-69.22726972030227
2025-03-23,554.5,549.2272697203023,5.272730279697726
2025-03-30,420.5,549.2272697203023,-128.72726972030227
2025-04-06,465.5,549.2272697203023,-83.72726972030227
2025-04-13,489.5,549.2272697203023,-59.727269720302274
2025-04-20,597.0,549.2272697203023,47.772730279697726
2025-04-27,632.5,549.2272697203023,83.27273027969773
2025-05-04,566.0,549.2272697203023,16.772730279697726
2025-05-11,459.0,549.2272697203023,-90.22726972030227
2025-05-18,500.5,549.2272697203023,-48.727269720302274
2025-05-25,698.5,549.2272697203023,149.27273027969773
2025-06-01,521.0,549.2272697203023,-28.227269720302274
2025-06-08,491.0,549.2272697203023,-58.227269720302274
2025-06-15,574.0,549.2272697203023,24.772730279697726
2025-06-22,459.0,549.2272697203023,-90.22726972030227
2025-06-29,500.5,549.2272697203023,-48.727269720302274
2025-07-06,460.0,549.2272697203023,-89.22726972030227
2025-07-13,495.0,549.2272697203023,-54.227269720302274
2025-07-20,553.5,549.2272697203023,4.272730279697726
2025-07-27,596.0,549.2272697203023,46.772730279697726
2025-08-03,552.0,549.2272697203023,2.7727302796977256
2025-08-10,454.5,549.2272697203023,-94.72726972030227
2025-08-17,592.5,549.2272697203023,43.272730279697726
2025-08-24,444.0,549.2272697203023,-105.22726972030227
2025-08-31,466.0,549.2272697203023,-83.22726972030227
2025-09-07,627.0,549.2272697203023,77.77273027969773
2025-09-14,532.0,549.2272697203023,-17.227269720302274
2025-09-21,511.0,549.2272697203023,-38.227269720302274
2025-09-28,526.5,549.2272697203023,-22.727269720302274
2025-10-05,451.0,549.2272697203023,-98.22726972030227
2025-10-12,485.0,549.2272697203023,-64.22726972030227
2025-10-19,529.0,549.2272697203023,-20.227269720302274
2025-10-26,556.0,549.2272697203023,6.772730279697726
2025-11-02,502.0,549.2272697203023,-47.227269720302274
2025-11-09,597.0,549.2272697203023,47.772730279697726
2025-11-16,714.0,549.2272697203023,164.77273027969773
2025-11-23,624.0,549.2272697203023,74.77273027969773
2025-11-30,525.0,549.2272697203023,-24.227269720302274
2025-12-07,482.0,549.2272697203023,-67.22726972030227
2025-12-14,511.0,549.2272697203023,-38.227269720302274
2025-12-21,552.0,549.2272697203023,2.7727302796977256
2025-12-28,517.0,549.2272697203023,-32.227269720302274
2026-01-04,421.0,549.2272697203023,-128.22726972030227
