Date,actual,naive_forecast,naive_error,historical_mean_forecast,historical_mean_error,moving_average_forecast,moving_average_error,ses_forecast,ses_error
2025-08-31,466.0,444.0,22.0,547.5082304526749,-81.50823045267487,526.7857142857143,-60.785714285714334,549.2272787516387,-83.22727875163866
2025-09-07,627.0,466.0,161.0,547.1741803278688,79.82581967213116,522.6428571428571,104.35714285714289,549.2272775114556,77.77272248854445
2025-09-14,532.0,627.0,-95.0,547.5,-15.5,533.1428571428571,-1.1428571428571104,549.2272786703594,-17.227278670359397
2025-09-21,511.0,532.0,-21.0,547.4369918699186,-36.43699186991864,524.0,-13.0,549.2272784136529,-38.227278413652925
2025-09-28,526.5,511.0,15.5,547.2894736842105,-20.78947368421052,518.1428571428571,8.35714285714289,549.2272778440221,-22.72727784402207
2025-10-05,451.0,526.5,-75.5,547.2056451612904,-96.20564516129036,528.4285714285714,-77.42857142857144,549.2272775053592,-98.22727750535921
2025-10-12,485.0,451.0,34.0,546.8192771084338,-61.819277108433766,508.2142857142857,-23.214285714285722,549.2272760416587,-64.22727604165868
2025-10-19,529.0,485.0,44.0,546.572,-17.572000000000003,514.0714285714286,14.928571428571445,549.2272750845976,-20.227275084597636
2025-10-26,556.0,529.0,27.0,546.5019920318725,9.498007968127467,523.0714285714286,32.928571428571445,549.2272747831878,6.772725216812205
2025-11-02,502.0,556.0,-54.0,546.5396825396825,-44.53968253968253,512.9285714285714,-10.928571428571445,549.2272748841093,-47.227274884109306
2025-11-09,597.0,502.0,95.0,546.3636363636364,50.636363636363626,508.64285714285717,88.35714285714283,549.2272741803681,47.77272581963189
2025-11-16,714.0,597.0,117.0,546.5629921259842,167.43700787401576,520.9285714285714,193.07142857142856,549.2272748922372,164.77272510776277
2025-11-23,624.0,714.0,-90.0,547.2196078431373,76.78039215686272,547.7142857142857,76.28571428571433,549.2272773475422,74.77272265245779
2025-11-30,525.0,624.0,-99.0,547.51953125,-22.51953125,572.4285714285714,-47.428571428571445,549.2272784617426,-24.22727846174257
2025-12-07,482.0,525.0,-43.0,547.431906614786,-65.43190661478604,578.1428571428571,-96.14285714285711,549.227278100728,-67.22727810072797
2025-12-14,511.0,482.0,29.0,547.1782945736434,-36.17829457364337,571.4285714285714,-60.428571428571445,549.2272770989634,-38.22727709896344
2025-12-21,552.0,511.0,41.0,547.03861003861,4.961389961389955,565.0,-13.0,549.2272765293326,2.7727234706674153
2025-12-28,517.0,552.0,-35.0,547.0576923076923,-30.057692307692264,572.1428571428571,-55.14285714285711,549.2272765706493,-32.22727657064934
2026-01-04,421.0,517.0,-96.0,546.9425287356322,-125.94252873563221,560.7142857142857,-139.71428571428567,549.2272760904254,-128.22727609042545
