dataset,n,frequency,adf_p_d0,adf_p_d1,suggested_d,dominant_acf_lag,dominant_pacf_lag,cv,seasonal_strength,visible_seasonality,has_ground_truth,baselines_n_train,baselines_n_test,ses_alpha,naive_mae,naive_rmse,naive_mape,historical_mean_mae,historical_mean_rmse,historical_mean_mape,moving_average_mae,moving_average_rmse,moving_average_mape,ses_mae,ses_rmse,ses_mape,failed,arima_n_train,arima_n_test,d,p_max,q_max,order,aic_bic_agree,arima_mae,arima_rmse,arima_mape,evaluation_n_test,arima_wins,baseline_wins,no_significant_difference,no_test_possible
call_center_emea_2021_2025,262,W,0.0,0.0,0,7,7,0.133,0.331,y,n,209,53,0.0,75.2453,88.0483,14.1235,55.6959,68.0098,10.6646,58.5809,72.6532,10.9872,55.8782,68.1435,10.7154,False,209,53,0,5,5,"(0, 0, 0)",True,55.8782,68.1435,10.7154,53,1,0,3,0
generated_emergency_dept_stays,1461,D,0.0826,0.0,1,7,1,0.122,0.522,y,y,1168,293,0.0833,17.1869,21.653,9.8866,17.4855,21.685,10.4137,14.6066,18.2276,8.4216,14.3285,18.1539,8.2611,False,1168,293,1,5,5,"(5, 1, 1)",True,13.2721,16.8442,7.6559,293,4,0,0,0
generated_job_shop_manufacturing,1461,D,0.0,0.0,0,1,1,0.088,0.096,n,y,1168,293,1.0,1.7549,2.1687,3.1811,3.5358,4.2862,6.4423,2.5314,3.1428,4.6395,1.7549,2.1687,3.1811,False,1168,293,0,5,5,"(1, 0, 1)",True,1.6362,2.0706,2.9646,293,4,0,0,0
synthetic_it_support_tickets,1460,D,0.0,0.0,0,35,35,0.197,0.221,n,n,1168,292,0.0,6.7024,8.4186,23.1896,4.8116,5.9037,16.6746,5.1581,6.3121,18.015,4.8126,5.903,16.6511,False,1168,292,0,5,5,"(5, 0, 2)",False,4.8284,5.9311,16.6834,292,2,0,2,0
